title,subtitle,kicker,link,image
"Die Ergebnisse der EU-Wahl in Ihrer Gemeinde","Hier finden Sie die
													österreichischen Resultate der Wahl zum
													zehnten EU-Parlament am 9. Juni 2024","EU-WAHL 2024","https://www.derstandard.at/story/3000000223448/die-ergebnisse-der-eu-wahl","https://i.ds.at/-RrH2A/rs:fill:600:400/plain/lido-images/2024/06/09/c8da9365-d3ab-447b-8951-ba2a2773804f.jpeg"
"Das EU-Parlament in Zahlen","Das Hohe Haus in Straßburg fungiert gemeinsam mit dem Rat als
													Gesetzgebungsorgan der Union. Der STANDARD
													gibt einen visuellen Überblick über die abgelaufene
													Legislaturperiode","Fünf Straßburger Jahre","https://www.derstandard.at/story/3000000221750/das-eu-parlament-in-zahlen","https://i.ds.at/T-dguw/rs:fill:600:400/plain/lido-images/2024/04/24/82d8285b-17ac-441d-a1bb-1fb688a5a93b.jpeg"
"Macht der April wirklich, was er will?","Nach einem temperaturtechnisch turbulenten
													April scheint die Bauernweisheit, wieder
													einmal, zuzutreffen. Die Daten zeigen: Nicht nur der April ist wild","Wetter","https://www.derstandard.at/story/3000000217804/macht-der-april-wirklich-was-er-will","https://i.ds.at/V9WEuw/rs:fill:600:400/plain/lido-images/2024/04/29/703cdc60-e1bd-43dc-8a06-e14be5917626.jpeg"
"Wo man in Österreich am meisten verdient","In welcher Gemeinde sind die mittleren Einkommen am höchsten, wo am
													niedrigsten? Finden Sie in unseren interaktiven Grafiken heraus, wo sich
													Ihr Wohnort einreiht","Einkommenskarte","https://www.derstandard.at/story/3000000214427/wo-man-in-oesterreich-am-meisten-verdient","https://i.ds.at/YAK8lQ/rs:fill:600:400/plain/lido-images/2024/04/11/1ff41f9b-f2ea-424f-9e52-ef1a8e67a0c8.jpeg"
"Wie (ab)normal sind 30 Grad im April?","Am Sonntag wurde bereits der früheste Hitzetag der Messgeschichte
													gemessen. Wie entstehen diese Rekorde, und was für Folgen haben sie für
													Mensch und Natur?","Klima","https://www.derstandard.at/story/3000000214695/wie-abnormal-sind-30-grad-im-april","https://i.ds.at/sxjFbQ/rs:fill:600:400/plain/lido-images/2024/04/08/a57be09d-c69e-4f63-96cf-e6b293021b9e.jpeg"
"Sind diese Bilder Fotografien oder von einer KI produziert?","Was ist Foto, was ist Fake? Noch nie war dies so schwer zu unterscheiden
													wie heute. Testen Sie im KI-Osterquiz, ob wir Ihnen ein Ei legen konnten","KI-Osterquiz","https://www.derstandard.at/story/3000000213686/sind-diese-bilder-fotografien-oder-von-einer-ki-produziert","https://i.ds.at/nzIgxQ/rs:fill:600:400/plain/lido-images/2024/03/28/7b7654c9-f568-401e-b916-9a33bccf7f56.png"
"Von der Donau bis in die Arktis: Europa ringt um einen Stopp der
													""Ewigkeitschemikalien""","Wasserproben aus der Donau enthalten PFAS, die
													""Ewigkeitschemikalien"". Sie sind
													extrem robust, aus vielen
													Alltagsprodukten kaum wegzudenken –
													und teilweise toxisch. In Brüssel wird ein Verbot geprüft","Tag des Wassers","https://www.derstandard.at/story/3000000212533/von-der-donau-bis-in-die-arktis-europa-ringt-um-einen-stopp-der-ewigkeitschemikalien","https://i.ds.at/X-ilew/rs:fill:600:400/plain/lido-images/2024/03/21/d2b88442-a7f6-40ba-b683-115f32accccc.jpeg"
"Wie die Donau und ihre Industrien mit zu heißem Wasser kämpfen","Die von ""Átlátszó"" und DER STANDARD recherchierten Daten zeigen:
													Die Donau wird immer wärmer – mit
													Herausforderungen für ihre Natur","Tag des Wassers","https://www.derstandard.at/story/3000000212743/wie-die-donau-und-ihre-industrien-mit-zu-heissem-wasser-kaempfen","https://i.ds.at/GrSQdQ/rs:fill:600:400/plain/lido-images/2024/03/22/99236c66-94b0-48ce-b177-88f09cae53d7.jpeg"
"Zurück ins Kinderzimmer: Wie Studierende unter hohen Wohnkosten leiden","Die steigenden Mietpreise treffen Studierende hart. Manche verschlägt es
													deshalb zurück ins Elternhaus. Dem STANDARD erzählen zwei von ihnen, wie
													es ihnen damit geht","Campus","https://www.derstandard.at/story/3000000208618/zurueck-ins-kinderzimmer-wie-studierende-unter-hohen-wohnkosten-leiden","https://i.ds.at/pA4iOw/rs:fill:600:400/plain/lido-images/2024/03/13/9b231265-51ac-4f83-a633-66becf5ae579.jpeg"
"36 Thesen zur Formel 1: Hoffen auf Ricciardo und einen Wiener Grand Prix","Am Samstag startet die neue Saison. Was vier Experten erwarten und sich
													erhoffen: von Überraschungsteams und
													Wunschdestinationen","Motorsport","https://www.derstandard.at/story/3000000209668/36-thesen-zur-formel-1-hoffen-auf-ricciardo-und-einen-wiener-grand-prix","https://i.ds.at/NfPXMg/rs:fill:600:400/plain/lido-images/2024/02/29/97e78ad7-1eb8-45fb-80a1-21907c9111fb.jpeg"
"Weniger Autos, mehr Grün: Ländliche Kleinstädte kämpfen gegen den Verfall","Kleine Städte auf dem Land könnten sehr lebenswert sein, sind aber oft
													autozentriert geplant und im Zentrum verwaist. Die Politik erkennt langsam
													ihr Potenzial","Kleine Stadt, oho!","https://www.derstandard.at/story/3000000200285/weniger-autos-mehr-gruen-laendliche-kleinstaedte-kaempfen-gegen-den-verfall","https://i.ds.at/TT31cw/rs:fill:600:400/plain/lido-images/2024/01/19/e9e25173-a8d4-486b-b927-6b75415402f4.jpeg"
"Fake oder Foto: Können Sie handgemachte und KI-Bilder unterscheiden?","Viele Menschen sind bei Bildern achtsamer geworden. Wie ist das bei Ihnen?
													Erkennen Sie, ob bei diesen
													Weihnachtsmotiven Mensch oder KI am Werk
													war?","KI-Weihnachtsquiz","https://www.derstandard.at/story/3000000198247/fake-oder-foto-koennen-sie-handgemachte-und-ki-bilder-unterscheiden","https://i.ds.at/Jc55-A/rs:fill:600:400/plain/lido-images/2023/12/07/5a8f3356-ff18-4400-a774-f472098bad90.jpeg"
"CO2-Emissionen erreichen neuen Höchststand","In Europa sinkt der Ausstoß, aber wir müssten schon viel weiter sein. Das
													zeigt der neue Bericht zum Global Carbon Budget, der am Dienstag auf der
													Weltklimakonferenz vorgestellt wird","COP 28","https://www.derstandard.at/story/3000000198140/co2-emissionen-erreichen-neuen-hoechststand","https://i.ds.at/3S1k7A/rs:fill:600:400/plain/lido-images/2023/12/04/2037b03a-1074-4ef9-8852-f160f68a6e76.jpeg"
"Was bedeutet eine Erhitzung von 1,5 oder drei Grad für Österreich?","Aktuelle Daten zeigen unter anderem, mit wie vielen Hitzetagen wir rechnen
													müssen, wie häufig Dürren sein werden und wie schnell sich die Schneedecke
													zurückziehen wird","Auf einen Blick","https://www.derstandard.at/story/3000000197035/was-bedeutet-eine-erhitzung-von-15-oder-drei-grad-fuer-oesterreich","https://i.ds.at/9z2QGA/rs:fill:600:400/plain/lido-images/2023/08/28/ba0863e2-002a-4a38-8238-f4d6ffcbfddc.jpeg"
"STANDARD-Redakteurin Stefanie Rachbauer
													gewinnt Winfra-Journalismuspreis","Weitere Auszeichnungen für Frederick Reinprecht, Jonas Binder, Katharina
													Maitz, Marianne Waldhäusl und Lukas Matzinger","Lorbeeren","https://www.derstandard.at/story/3000000196595/standard-redakteurin-stefanie-rachbauer-gewinnt-winfra-journalismuspreis","https://i.ds.at/OFH8MQ/rs:fill:600:400/plain/lido-images/2023/11/23/c92c253a-273e-4cfa-9a28-89b0698681d6.jpeg"
"Das wärmste Jahr seit Messbeginn wird 2023 sein","Das neue Temperaturextrem ist ""so gut
													wie sicher"", meldet der
													EU-Klimawandeldienst Copernicus. Forschende
													berichten vom heißesten
													Zwölf-Monats-Zeitraum seit 125.000 Jahren.","Klimakrise","https://www.derstandard.at/story/3000000194157/das-waermste-jahr-seit-messbeginn-wird-2023-sein","https://i.ds.at/X2H23g/rs:fill:600:400/plain/lido-images/2023/11/07/65de7111-4ecc-4bfb-bb3b-3d0555f0597b.jpeg"
"Wie Wien nach dem Terroranschlag 2020 zusammenrückte","Drei Jahre nach dem Terroranschlag haben Forschende der Akademie der
													Wissenschaften analysiert, welche kollektive Erinnerung sich schon kurz
													danach gebildet hat","#schleichdiduoaschloch","https://www.derstandard.at/story/3000000192991/wie-wien-nach-dem-terroranschlag-2020-zusammenrueckte","https://i.ds.at/Le6xsQ/rs:fill:600:400/plain/lido-images/2023/10/29/b268701b-ba8e-4497-808f-97cd80409c9a.jpeg"
"Den Pinguinen schmilzt der Boden weg","Die tierischen Sympathieträger sind in
													Bedrängnis: Ihr Lebensraum verändert sich so schnell, dass sie sich kaum
													anpassen können","Frackträger in Not","https://www.derstandard.at/story/3000000191581/den-pinguinen-schmilzt-ihr-boden-weg","https://i.ds.at/c3Kpwg/rs:fill:600:400/plain/lido-images/2023/10/23/47587a91-1cf6-4cd9-b15f-b5e670936645.jpeg"
"Verbaute Flüsse, gerodete Wälder: Der Kampf gegen das große Sterben der
													Natur","Ob in Tirol, Laos oder Kolumbien: Diese zehn Menschen arbeiten daran, das
													Artensterben zu stoppen. Auf ein Abkommen dazu hatte sich die ganze Welt
													vor knapp einem Jahr geeinigt","Interaktiv","https://www.derstandard.at/story/3000000192855/vom-globalen-artensterben-und-jenen-die-es-bekaempfen","https://i.ds.at/gNxFDA/rs:fill:600:400/plain/lido-images/2023/10/27/5233549c-e4ab-4c9d-af06-134d3ff725f9.jpeg"
"Der Zirkus um den Lärm: Arena arbeitet an provisorischer Dämmung","Hochhausbewohner regt der Geräuschpegel aus
													der Eventlocation auf – die setzt nun Maßnahmen. Insgesamt ist in
													Wien aber der Verkehr der größte Lärmfaktor, gefolgt von Nachbarn","Wien","https://www.derstandard.at/story/3000000189890/der-zirkus-um-den-laerm-arena-arbeitet-an-provisorischer-daemmung","https://i.ds.at/8Bfs2g/rs:fill:600:400/plain/lido-images/2023/10/12/26005bf9-73c1-49f6-8b8a-0a25ca5313a7.jpeg"
"Preisvergleich: Wer gibt Lebensmittel
													billiger her?","Nach einem Jahr der Extreme sinken manche
													Lebensmittelpreise wieder. Viele wundern
													sich immer noch über die Beträge, die sich beim Einkauf summieren und
													ärgern sich, wenn Packungen schrumpfen","Teurer Einkauf","https://www.derstandard.at/story/3000000188175/preisvergleich-wer-gibt-lebensmittel-billiger-her","https://i.ds.at/Vpkd7A/rs:fill:600:400/plain/lido-images/2023/09/23/abd68509-618a-4f30-b675-c1b84a6b96ed.jpeg"
"Immo-Suche nach Klimakriterien: Die
													unsichersten Regionen in Österreich","Der Mensch kämpft auch in Österreich gegen die Folgen des Klimawandels. Wo
													in Österreich das Risiko am größten ist und was man bei der Immo-Suche
													beachten sollte","Bedrohte Bauten","https://www.derstandard.at/story/3000000184288/immo-suche-nach-klimakriterien-die-unsichersten-regionen-in-oesterreich","https://i.ds.at/O4u_lw/rs:fill:600:400/plain/lido-images/2023/08/25/7511cfb9-7a69-4783-979a-55e4d0268bad.jpeg"
"Interaktive Österreich-Karte: So heiß wird
													es bei Ihnen in den nächsten Tagen","Welche Temperaturen auf Sie zukommen, zeigt unsere
													Österreich-Karte des
													hochaufgelösten
													Temperaturmodells der nächsten Tage","Hitzewelle","https://www.derstandard.at/story/3000000179904/interaktive-oesterreich-karte-so-heiss-wird-es-bei-ihnen-in-den-naechsten-tagen","https://i.ds.at/yyrzkw/rs:fill:600:400/plain/lido-images/2023/06/21/82ddeffc-fd54-4735-8286-5ea804cc0410.jpeg"
"Von Erfolg und Ärgernis bei der gelb-blauen Tonne","Seit Anfang 2023 ist die neue, gelb-blaue Tonne für
													Leichtverpackungen im Einsatz. Die MA 48
													freut sich über eine höhere Sammelquote, doch nicht alle sind glücklich","Alles eitel Tonne?","https://www.derstandard.at/story/3000000182058/von-erfolg-und-aergernis-bei-der-gelb-blauen-tonne","https://i.ds.at/LWTqaQ/rs:fill:600:400/plain/lido-images/2023/08/07/9c920ed2-bf57-4f9b-b310-5c7d61048323.jpeg"
"Vertreibung aus dem Paradies: Die
													skandalträchtige Tour de France 1998","Der vor 25 Jahren ausgebrochene Doping-Eklat um das Festina-Team bildete
													den Auftakt für ein dunkles Jahrzehnt im Radsport. Der Imageschaden wirkt
													bis heute nach","Doping","https://www.derstandard.at/story/3000000176605/vertreibung-aus-dem-paradies-die-skandaltraechtige-tour-de-france-1998","https://i.ds.at/fUVdsQ/rs:fill:600:400/plain/lido-images/2023/07/07/c8593f77-c47a-49a1-ba0d-f310a0847849.jpeg"
"Wo queere Personen bis heute verfolgt werden","Wo droht Lesben, Schwulen und Bisexuellen die Todesstrafe? Wo dürfen
													gleichgeschlechtliche Paare heiraten, und
													wo trauen sie sich, Händchen zu halten? Ein interaktiver Guide mit
													Videoreportagen","Pride-Monat","https://www.derstandard.at/story/3000000173525/wo-queere-personen-bis-heute-verfolgt-werden","https://i.ds.at/E6ve_w/rs:fill:600:400/plain/lido-images/2023/06/22/ff1b9b4d-8ba6-4035-bf3f-5976225cf03a.jpeg"
"European Newspaper Awards verliehen - sieben Auszeichnungen für STANDARD","Vier Print-Layouts wurden bei dem europäischen Bewerb der
													Mediengestaltung ausgezeichnet, ebenso
													Datenvisualisierungen online und das
													STANDARD-Forum auf der Fassade des
													Leopold-Museums","Ausgezeichnet","https://www.derstandard.at/story/2000141846192/sieben-european-newspaper-awards-gehen-an-den-standard","https://i.ds.at/4zP60g/rs:fill:600:400/plain/2022/12/15/ENPKlimaonline.jpg"
"Globaler Norden schuldet Süden 170 Billionen Dollar für Klimasünden","Industrienationen müssten bis zum Jahr 2050
													enorme Kompensationszahlungen für ihre
													exzessiven Emissionen leisten, damit die Klimaziele erreicht werden können","Klimagerechtigkeit","https://www.derstandard.at/story/3000000173235/globaler-norden-schuzl","https://i.ds.at/M3r9GQ/rs:fill:600:400/plain/lido-images/2023/06/05/0615c27e-298b-4ceb-9279-47e1aeaeaa94.jpeg"
"Badespaß oder Klimasünde? Was der Boom privater Swimmingpools bedeutet","Geschätzt 150.000 private Pools gibt es in Österreich, doch viele
													Gemeinden ächzen unter dem
													Wasserverbrauch. Ein Besuch im Land der
													Gummiwuchteln","Kühles Nass","https://www.derstandard.at/story/3000000124820/badespass-oder-klimasuende-was-der-boom-privater-swimming-pools-bedeutet","https://i.ds.at/i4A0NQ/rs:fill:600:400/plain/lido-images/2023/06/02/ff017c48-8f0c-430d-b6eb-a283346956f8.jpeg"
"Die sieben Lektionen der Seven Serpents: 540 Kilometer auf dem Gravelbike","Das Seven Serpents Quickbite führt über Stock, Stein und 10.600 Höhenmeter
													durch Slowenien und Kroatien. Ein Selbstversuch, der vieles lehrte","Rad-Challenge","https://www.derstandard.at/story/3000000021257/die-sieben-lektionen-der-seven-serpents-540-kilometer-am-gravelbike","https://i.ds.at/475iJQ/rs:fill:600:400/plain/lido-images/2023/05/22/f392306d-0752-4309-9c60-e6fe8a3ee1f3.jpeg"
"Gesamtergebnis der ÖH-Wahl wird wohl erst am Montag vorliegen","An der Uni Wien liegt der VSStÖ voran, die Liste Herbert zieht wohl in die
													Bundesvertretung ein, Gras verliert
													vielerorts","Die Wahl in Grafiken","https://www.derstandard.at/story/2000146383600/gesamtergebnis-der-oeh-wahl-wird-wohl-erst-am-montag-vorliegen","https://i.ds.at/zYypUw/rs:fill:600:400/plain/2023/05/12/apamanhart.jpg"
"Pressefreiheit in Österreich bleibt auf niedrigem Niveau","Österreich liegt im weltweiten Ranking der Pressefreiheit nach dem Absturz
													des Vorjahres auf dem nur
													""zufriedenstellenden"" 29. Rang","Reporter ohne Grenzen","https://www.derstandard.at/story/2000146057469/pressefreiheit-in-oesterreich-bleibt-auf-niedrigem-niveau","https://i.ds.at/8sgEiQ/rs:fill:600:400/plain/2023/05/02/WeltkarteROG.jpg"
"Die Gletscher schmolzen 2022 im Rekordtempo – besonders in Europa","Aktuelle Auswertungen untermauern den massiven Rückgang der alpinen
													Gletscher. Hohe Temperaturen und geringe
													Schneebedeckung führen zur Rekordschmelze","Rasanter Eisverlust","https://www.derstandard.at/story/2000145833249/die-gletscher-schmolzen-2022-im-rekordtempo-besonders-in-europa","https://i.ds.at/n0G_0w/rs:fill:600:400/plain/2023/04/25/pasterze.jpg"
"Wann war beim Marathon das Wetter am schlechtesten, wann kamen die meisten
													ins Ziel?","Manchmal schien die Sonne, manchmal regnete es – und einmal hat es
													sogar gehagelt. Seit fast 40 Jahren wird in Wien Marathon gelaufen. Die
													Königsdisziplin in Zahlen","Wien-Marathon","https://www.derstandard.at/story/2000145586493/wann-war-beim-marathon-das-wetter-am-schlechtesten-wann-kamen","https://i.ds.at/fkuIIQ/rs:fill:600:400/plain/2023/04/21/laufen1.jpg"
"Die Trockenheit in Ostösterreich verwandelt Schotterteiche in Kiesgruben","Trockenheit und Wassermangel sind nicht mehr nur ein Problem des Südens,
													sondern auch Ostösterreichs. Dennoch kein
													Grund zur Aufregung, sagen die Zuständigen","Wassermangel in Österreich","https://www.derstandard.at/story/2000145091342/die-trockenheit-in-ostoesterreich-verwandelt-schotterteiche-in-kiesgruben","https://i.ds.at/b_G8Wg/rs:fill:600:400/plain/2023/03/31/wasser002.jpg"
"Zukunft des Skitourismus auf schwindendem Eis","Klimatisch gesehen liegt die Zukunft des
													(Oster-)Skilaufs in der Höhe. Doch unter
													den Liftstützen schmilzt das Eis. Die Reaktionen sind
													unterschiedlich: Es wird ab- und ausgebaut","Gletscherskilauf","https://www.derstandard.at/story/2000145004062/zukunft-des-skitourismus-auf-schwindendem-eis","https://i.ds.at/79p0aw/rs:fill:600:400/plain/2023/03/29/2023-03-Gletscher.jpg"
"Wie viele Gasthäuser in
													Niederösterreich tatsächlich zugrunde
													gegangen sind","Die schwarz-blaue Regierung führt eine umstrittene Prämie für Gasthäuser
													ein, die traditionelle Küche anbieten. Wie ist die Lage altehrwürdiger
													Wirtshäuser in Niederösterreich wirklich?","""Wirtshausprämie""","https://www.derstandard.at/story/2000144862263/wie-viele-gasthaeuser-in-niederoesterreich-tatsaechlich-zugrunde-gegangen-sind","https://i.ds.at/wKhfCQ/rs:fill:600:400/plain/2023/03/24/schnitzel.jpg"
"Wie sich der russische Vormarsch auf Bachmut entwickelte","Russland hält mit Wagner-Söldnern eine Art
													Zangengriff um die ostukrainische Stadt – mit hohem Blutzoll:
													Tausende Russen sollen gefallen sein. Eine Einkesselung gilt als nächster
													logischer Zug","Krieg in der Ukraine","https://www.derstandard.at/story/2000144233295/wie-sich-der-russische-vormarsch-auf-bachmut-entwickelte","https://i.ds.at/MPLwmQ/rs:fill:600:400/plain/2023/03/07/bakhmut005.jpg"
"Das Jahr des Fernando Alonso? Was die
													Formel-1-Saison bringt","Max Verstappen wird Weltmeister, ja eh. Und sonst? 28 Expertisen zu den
													spannenderen Fragen der Formel 1 – von unerwarteten Podestfahrern
													bis zu Krisenkandidaten","Formel 1","https://www.derstandard.at/story/2000144134893/das-jahr-des-fernando-alonso-was-die-formel-1-saison","https://i.ds.at/hXlMnA/rs:fill:600:400/plain/2023/03/03/AlonsoHeck.jpg"
"Wer hat der Ukraine welche Waffen geliefert?","Die Ukrainer kämpfen um ihren Staat – und wären ohne westliche
													Waffenlieferungen wohl besiegt. Die Partner
													wägen neue Zusage sorgfältig ab, doch Monat für Monat kommt mehr","Kriegsgerät","https://www.derstandard.at/story/2000143804561/wer-hat-der-ukraine-welche-waffen-geliefert","https://i.ds.at/oxk1aQ/rs:fill:600:400/plain/2023/02/22/scholz-und-der-panzer.jpg"
"Geschworene machen Andeutungen zu Anklage gegen Trump in Georgia","Die Ermittlungen richten sich gegen den Ex-Präsidenten und sein Lager.
													2020 soll er in Georgia versucht haben, Einfluss auf die Auszählung der
													Wählerstimmen zu nehmen","Wahlbeeinflussung","https://www.derstandard.at/story/2000143799692/jury-macht-andeutungen-zu-anklage-gegen-trump-in-georgia","https://i.ds.at/jjsuEA/rs:fill:600:400/plain/2023/02/22/Trump1.jpg"
"Geschafft: LeBron James knackt den Punkterekord in der NBA","Der 38-Jährige übertrifft eine Bestmarke, die unerreichbar schien –
													und hält bei 38.390 Zählern","Basketball","https://www.derstandard.at/story/2000143246085/der-beste-aller-zeitenlebron-james-bricht-punkterekord-in-der-nba","https://i.ds.at/7N7-iA/rs:fill:600:400/plain/2023/02/08/lebron.jpg"
"Sechs Details zur
													Niederösterreich-Wahl: FPÖ holte zwölf
													Gemeinden von ÖVP","Auf Gemeindeebene werden spannende Dynamiken der Landtagswahl sichtbar.
													Etwa wie sich der Siegeszug der Freiheitlichen und der Schwund der
													absoluten Mehrheiten gestalten","Gemeindeergebnisse","https://www.derstandard.at/story/2000143088751/sechs-details-zur-niederoesterreich-wahl-fpoe-stahl-oevp-zwoelf-gemeinden","https://i.ds.at/V8wnpg/rs:fill:600:400/plain/2023/01/31/WahhlokalFlorian-Wieser.jpg"
"Wo in Österreich Immobilien noch leistbar sind","20 Prozent an Eigenmitteln sind für einen
													Immobilienkredit nötig – daran
													zerbricht so mancher Traum. Wo man dafür jahrelang arbeiten muss und wo es
													schneller geht","Immobilienmarkt","https://www.derstandard.at/story/2000142812192/wo-in-oesterreich-immobilien-noch-leistbar-sind","https://i.ds.at/rzUDtA/rs:fill:600:400/plain/2023/01/23/doppelhaeuser.jpg"
"Keine Bim in Sicht: Störungen und Verzögerungen bei den Wiener Öffis","Nicht erst seit dem Wintereinzug wartet man länger auf die Öffis. Die
													Wiener Linien sprechen von Personalnot und kalkulierten
													Intervallverlängerungen. Dazu kommen
													ungeplante Störungen","Wien","https://www.derstandard.at/story/2000141719637/keine-bim-in-sicht-stoerungen-und-verzoegerungen-bei-den-wiener","https://i.ds.at/lmoCgg/rs:fill:600:400/plain/2022/12/12/bim.jpeg"
"Wieso Russlands Krieg auch Hungersnöte verschlimmert – obwohl es
													genug Weizen gibt","Die Unsicherheit, die Russlands Krieg losgetreten hat, lässt Preise
													weltweit schwanken – auch für Weizen und Brot. Eine Erklärung in
													fünf Grafiken","Krieg und Brot","https://www.derstandard.at/story/2000141332403/wieso-russlands-krieg-auch-hungersnoete-verschlimmert-obwohl-es-genug-weizen","https://i.ds.at/PuI5-Q/rs:fill:600:400/plain/2022/12/11/weizen.jpg"
"Ist Wien eine 15-Minuten-Stadt?","Wien ist vielerorts schon eine Stadt der kurzen Wege, doch es gibt auch
													noch Aufholbedarf. Wir sind – Stoppuhr im Gepäck – mit
													Wienerinnen und Wienern durch die Stadt spaziert","Erreichbarkeit","https://www.derstandard.at/story/2000141195338/ist-wien-eine-15-minuten-stadt","https://i.ds.at/LkEX7w/rs:fill:600:400/plain/2022/11/27/weg1.jpg"
"Umweltjournalismus-Preis für
													STANDARD-Videoserie ""Erklärt!:
													Klima"" von Verena Mischitz","Das STANDARD-Interaktivteam war ebenfalls
													in der Online-Kategorie nominiert","Lorbeer","https://www.derstandard.at/story/2000141314154/umweltjournalismuspreis-fuer-standard-videoserie-erklaert-klima-von-verena-mischitz","https://i.ds.at/XdqEoA/rs:fill:600:400/plain/2022/11/29/erklaert.jpg"
